time,uptime,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,APE,CVNAS,DLA0_CORE,DLA0_FALCON,DLA1_CORE,DLA1_FALCON,NVDEC,NVDEC1,NVENC,NVENC1,NVJPG,PVA0_AXI,PVA0_VPS0,PVA0_VPS1,PVA1_AXI,PVA1_VPS0,PVA1_VPS1,SE,VIC,Fan tegra_pwmfan0,Temp AO,Temp AUX,Temp CPU,Temp GPU,Temp thermal,Power thermal,Power TOT,jetson_clocks,nvp model
2023-10-12 21:11:43.744876,3:17:36.120000,10,9,9,9,OFF,OFF,0.3979455001385439,9.38444000576896e-06,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,50.98039215686274,54.5,55.0,56.5,55.0,55.3,1656,5192,OFF,MODE_10W_4CORE
2023-10-12 21:11:43.747244,3:17:36.120000,10,9,9,9,OFF,OFF,0.3979455001385439,9.38444000576896e-06,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,50.98039215686274,54.5,55.0,56.5,55.0,55.3,1656,5192,OFF,MODE_10W_4CORE
2023-10-12 21:11:44.788145,3:17:37.120000,61,43,59,49,OFF,OFF,0.3979914344800949,9.38444000576896e-06,0,45.4,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,50.98039215686274,54.5,55.0,56.5,55.0,55.25,1700,5981,OFF,MODE_10W_4CORE
2023-10-12 21:11:45.755864,3:17:38.120000,41,41,37,38,OFF,OFF,0.397600251700435,9.38444000576896e-06,0,35.7,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,50.98039215686274,54.5,54.5,56.5,55.5,55.25,1739,5731,OFF,MODE_10W_4CORE
2023-10-12 21:11:46.738413,3:17:39.120000,15,12,16,12,OFF,OFF,0.39746022604635217,9.38444000576896e-06,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,50.98039215686274,54.5,55.0,56.0,55.0,55.3,1614,4901,OFF,MODE_10W_4CORE
2023-10-12 21:11:47.738297,3:17:40.120000,11,15,18,13,OFF,OFF,0.3975491312235476,9.38444000576896e-06,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,50.98039215686274,54.5,55.0,56.0,55.0,55.6,1614,4942,OFF,MODE_10W_4CORE
2023-10-12 21:11:48.742500,3:17:41.120000,15,14,12,11,OFF,OFF,0.3976227249535594,9.38444000576896e-06,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,50.98039215686274,54.5,55.0,56.0,55.0,55.6,1614,4942,OFF,MODE_10W_4CORE
2023-10-12 21:11:49.741287,3:17:42.120000,14,11,22,78,OFF,OFF,0.3977202736896488,9.38444000576896e-06,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,50.98039215686274,54.5,55.0,56.5,55.0,55.3,1614,5233,OFF,MODE_10W_4CORE
2023-10-12 21:11:50.745027,3:17:43.130000,10,10,10,6,OFF,OFF,0.3977138527601847,9.38444000576896e-06,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,50.98039215686274,54.5,55.0,56.0,55.0,55.45,1614,4893,OFF,MODE_10W_4CORE
2023-10-12 21:11:51.744848,3:17:44.130000,12,10,8,4,OFF,OFF,0.39768569945407284,9.38444000576896e-06,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,50.98039215686274,54.5,55.0,56.0,55.0,55.1,1614,4769,OFF,MODE_10W_4CORE
